# https://www.cs.virginia.edu/stream/by_date/Balance.html
# Balance is Peak MFLOPS divided by Triad Bandwidth in MW/s
# ------------------------------------------------------------------------------
# Submission  System                                   Peak       BW     Machine
# Date        Machine ID                      ncpus   MFLOPS    (MW/s)   Balance
# ------------------------------------------------------------------------------
2007.04.17  Intel_Core2_Quad6600               2    19200.0    713.9     26.9 data
2007.04.17  Intel_Core2_Quad6600               1     9600.0    722.1     13.3 data
2007.04.17  Sun_SPARC_Enterprise_M9000        64   550400.0  16796.1     32.8 data
2007.04.17  Sun_SPARC_Enterprise_M9000       128  1100800.0  28382.4     38.8 data
2007.04.17  Sun_SPARC_Enterprise_M8000        32   275200.0   8703.7     31.6 data
2007.04.17  Sun_SPARC_Enterprise_M5000        16   137600.0   3161.5     43.5 data
2007.04.17  Sun_SPARC_Enterprise_M4000         8    68800.0   1588.7     43.3 data
2007.04.17  Fujitsu_SPARC_Enterprise_M9000   128  1228800.0  28382.4     43.3 data
2007.04.17  Fujitsu_SPARC_Enterprise_M9000    64   614400.0  16796.1     36.6 data
2007.04.17  Fujitsu_SPARC_Enterprise_M8000    32   307200.0   8703.7     35.3 data
2007.04.17  Fujitsu_SPARC_Enterprise_M5000    16   137600.0   3161.5     43.5 data
2007.04.17  Fujitsu_SPARC_Enterprise_M4000     8    68800.0   1588.7     43.3 data
2007.03.09  Tyan-S2915                         4    24000.0   1762.2     13.6 data
2007.03.09  Tyan-S2915                         1     6000.0    884.8      6.8 data
2007.02.13  HP_Integrity_BL860c                1     6400.0    701.4      9.1 data
2007.02.13  HP_Integrity_rx2660                1     6400.0    699.4      9.2 data
2007.02.06  Tyan-S2915                         4    22400.0   1611.1     13.9 data
2007.01.26  Apple_MacBook_Pro                  1     8664.0    376.1     23.0 data
2006.09.25  Apple_PwrMac_G5_dc                 1    10000.0    412.6     24.2 data
2006.09.21  HP_Integrity_rx6600                1     6400.0    700.6      9.1 data
2006.09.21  HP_Integrity_rx3600                1     6400.0    697.9      9.2 data
2006.09.21  HP_Integrity_rx8640_dc            32   204800.0   5348.2     38.3 data
2006.09.21  HP_Integrity_rx8640_dc            16   102400.0   2673.9     38.3 data
2006.09.21  HP_Integrity_rx7640_dc             8    51200.0   1336.6     38.3 data
2006.09.21  HP_Integrity_rx7640_dc            16   102400.0   2679.0     38.2 data
2006.09.07  Intel_D975XBX                      1     6800.0    483.8     14.1 data
2006.08.08  eMachines_T3506                    1     6400.0    146.3     43.7 data
2006.07.23  IBM_System_p5_550                  4    33600.0   2590.2     13.0 data
2006.07.23  IBM_System_p5_550Q                 8    52800.0   2438.6     21.7 data
2006.07.23  IBM_System_p5_595                 64   588800.0  25780.4     22.8 data
2006.07.14  HP_Integrity_SuperDome_dc         64   409600.0  10724.0     38.2 data
2006.07.14  HP_Integrity_SuperDome_dc         32   204800.0   5365.2     38.2 data
2006.07.14  HP_Integrity_SuperDome_dc        128   819200.0  21354.1     38.4 data
2006.07.10  SGI_Altix_4700                  1024  6553600.0 543770.8     12.1 data
2006.06.29  Compaq_Armada_1700                 1      233.0     22.0     10.6 data
